c1	c2	c3	c4	c5	c6
gene1243	gene1303	gene1289	gene1375	gene1296	gene1478
gene1244	gene1305	gene1291	gene1376	gene1297	gene1479
gene1245	gene1306	gene1293	gene1381	gene1299	gene1480
gene1246	gene1307	gene1294	gene1387	gene1300	gene1483
gene1247	gene1308	gene1295	gene1388	gene1302	gene1484
gene1248	gene1312	gene1296	gene1389	gene1303	gene1486
gene1249	gene1313	gene1297	gene1390	gene1305	gene1488
gene1250	gene1315	gene1299	gene1391	gene1308	gene1489
gene1251	gene1317	gene1300	gene1392	gene1312	gene1490
gene1252	gene1319	gene1301	gene1394	gene1315	gene1492
gene1253	gene1320	gene1303	gene1395	gene1316	gene1494
gene1254	gene1322	gene1305	gene1396	gene1317	gene1498
gene1255	gene1324	gene1308	gene1397	gene1319	gene1500
gene1256	gene1325	gene1312	gene1400	gene1320	gene1502
gene1258	gene1327	gene1313	gene1401	gene1322	gene1504
gene1259	gene1328	gene1314	gene1402	gene1325	gene1508
gene1260	gene1330	gene1315	gene1403	gene1327	gene1509
gene1262	gene1331	gene1316	gene1405	gene1328	gene1510
gene1263	gene1333	gene1317	gene1407	gene1331	gene1511
gene1265	gene1335	gene1318	gene1408	gene1332	gene1512
gene1268	gene1336	gene1320	gene1411	gene1333	gene1513
gene1269	gene1338	gene1322	gene1414	gene1335	gene1514
gene1270	gene1340	gene1324	gene1421	gene1340	gene1515
gene1271	gene1341	gene1326	gene1422	gene1342	gene1518
gene1272	gene1342	gene1327	gene1431	gene1343	gene1519
gene1275	gene1343	gene1328	gene1433	gene1344	gene1522
gene1276	gene1344	gene1329	gene1434	gene1347	gene1523
gene1282	gene1345	gene1331	gene1436	gene1352	gene1524
gene1283	gene1346	gene1332	gene1437	gene1353	gene1528
gene1285	gene1347	gene1333	gene1441	gene1355	gene1529
gene1286	gene1350	gene1335	gene1443	gene1356	gene1533
gene1287	gene1351	gene1338	gene1444	gene1359	gene1536
gene1288	gene1352	gene1339	gene1448	gene1361	gene1539
gene1289	gene1353	gene1340	gene1449	gene1364	gene1540
gene1291	gene1354	gene1341	gene1450	gene1366	gene1542
gene1292	gene1355	gene1342	gene1451	gene1367	gene1543
gene1293	gene1356	gene1343	gene1452	gene1368	gene1545
gene1294	gene1357	gene1344	gene1454	gene1372	gene1547
gene1295	gene1359	gene1345	gene1455	gene1373	gene1548
gene1296	gene1360	gene1347	gene1456	gene1374	gene1549
gene1297	gene1361	gene1348	gene1459	gene1375	gene1551
gene1299	gene1366	gene1351	gene1461	gene1377	gene1559
gene1300	gene1367	gene1352	gene1462	gene1378	gene1560
gene1301	gene1369	gene1353	gene1463	gene1380	gene1561
gene1302	gene1371	gene1354	gene1466	gene1382	gene1565
gene1303	gene1373	gene1355	gene1472	gene1383	gene1568
gene1305	gene1374	gene1356	gene1473	gene1386	gene1570
gene1308	gene1375	gene1357	gene1474	gene1387	gene1573
gene1310	gene1376	gene1359	gene1477	gene1391	gene1575
gene1312	gene1377	gene1363	gene1478	gene1392	gene1576
gene1313	gene1378	gene1364	gene1479	gene1395	gene1577
gene1314	gene1379	gene1365	gene1480	gene1396	gene1582
gene1315	gene1382	gene1368	gene1483	gene1397	gene1584
gene1316	gene1383	gene1371	gene1484	gene1400	gene1585
gene1317	gene1384	gene1373	gene1486	gene1403	gene1586
gene1319	gene1385	gene1375	gene1488	gene1407	gene1591
gene1320	gene1386	gene1376	gene1490	gene1408	gene1592
gene1322	gene1387	gene1377	gene1492	gene1411	gene1595
gene1323	gene1388	gene1379	gene1497	gene1412	gene1600
gene1324	gene1389	gene1381	gene1499	gene1413	gene1602
gene1325	gene1390	gene1382	gene1500	gene1414	gene1604
gene1326	gene1391	gene1386	gene1501	gene1418	gene1611
gene1327	gene1392	gene1387	gene1502	gene1421	gene1614
gene1328	gene1394	gene1388	gene1509	gene1422	gene1616
gene1329	gene1395	gene1389	gene1513	gene1424	gene1617
gene1331	gene1396	gene1392	gene1514	gene1425	gene1620
gene1332	gene1397	gene1395	gene1515	gene1430	gene1624
gene1333	gene1398	gene1396	gene1517	gene1432	gene1628
gene1335	gene1399	gene1397	gene1518	gene1433	gene1630
gene1336	gene1400	gene1398	gene1523	gene1434	gene1633
gene1340	gene1401	gene1399	gene1524	gene1435	gene1634
gene1343	gene1402	gene1400	gene1527	gene1436	gene1636
gene1344	gene1403	gene1403	gene1529	gene1437	gene1639
gene1345	gene1405	gene1404	gene1533	gene1441	gene1642
gene1346	gene1407	gene1405	gene1534	gene1449	gene1644
gene1347	gene1408	gene1406	gene1535	gene1450	gene1650
gene1349	gene1409	gene1407	gene1536	gene1451	gene1652
gene1350	gene1411	gene1408	gene1538	gene1456	gene1656
gene1351	gene1412	gene1411	gene1539	gene1457	gene1658
gene1352	gene1413	gene1413	gene1540	gene1458	gene1659
gene1353	gene1414	gene1414	gene1542	gene1461	gene1661
gene1354	gene1417	gene1416	gene1543	gene1462	gene1664
gene1355	gene1418	gene1421	gene1548	gene1463	gene1667
gene1357	gene1419	gene1422	gene1550	gene1465	gene1668
gene1359	gene1421	gene1424	gene1554	gene1469	gene1674
gene1360	gene1422	gene1425	gene1555	gene1471	gene1675
gene1363	gene1429	gene1427	gene1556	gene1474	gene1681
gene1367	gene1431	gene1432	gene1559	gene1475	gene1683
gene1368	gene1432	gene1433	gene1561	gene1476	gene1684
gene1371	gene1433	gene1434	gene1562	gene1478	gene1685
gene1372	gene1435	gene1435	gene1563	gene1479	gene1686
gene1373	gene1436	gene1436	gene1564	gene1481	gene1688
gene1374	gene1437	gene1437	gene1565	gene1483	gene1689
gene1375	gene1441	gene1439	gene1568	gene1486	gene1690
gene1377	gene1444	gene1441	gene1573	gene1488	gene1691
gene1380	gene1445	gene1443	gene1575	gene1489	gene1693
gene1383	gene1448	gene1445	gene1576	gene1490	gene1697
gene1385	gene1449	gene1446	gene1577	gene1492	gene1700
gene1386	gene1451	gene1449	gene1586	gene1494	gene1701
gene1387	gene1453	gene1450	gene1591	gene1496	gene1703
gene1388	gene1454	gene1452	gene1592	gene1497	gene1705
gene1389	gene1456	gene1453	gene1595	gene1498	gene1710
gene1390	gene1457	gene1456	gene1596	gene1500	gene1712
gene1392	gene1460	gene1457	gene1597	gene1502	gene1713
gene1394	gene1461	gene1459	gene1603	gene1503	gene1716
gene1395	gene1462	gene1460	gene1604	gene1510	gene1717
gene1396	gene1463	gene1462	gene1605	gene1512	gene1722
gene1397	gene1466	gene1463	gene1606	gene1513	gene1732
gene1399	gene1467	gene1466	gene1607	gene1515	gene1744
gene1400	gene1468	gene1468	gene1611	gene1518	gene1745
gene1402	gene1470	gene1473	gene1614	gene1519	gene1747
gene1403	gene1473	gene1474	gene1616	gene1523	gene1749
gene1404	gene1476	gene1477	gene1621	gene1525	gene1750
gene1405	gene1478	gene1478	gene1622	gene1528	gene1755
gene1407	gene1479	gene1479	gene1624	gene1529	gene1757
gene1408	gene1480	gene1480	gene1626	gene1530	gene1758
gene1411	gene1481	gene1483	gene1627	gene1536	gene1760
gene1412	gene1483	gene1484	gene1628	gene1538	gene1762
gene1413	gene1484	gene1485	gene1630	gene1539	gene1766
gene1414	gene1485	gene1486	gene1632	gene1540	gene1767
gene1416	gene1486	gene1487	gene1633	gene1541	gene1769
gene1417	gene1487	gene1490	gene1636	gene1547	gene1771
gene1421	gene1490	gene1491	gene1637	gene1548	gene1773
gene1427	gene1491	gene1492	gene1638	gene1549	gene1779
gene1429	gene1492	gene1494	gene1642	gene1552	gene1782
gene1430	gene1497	gene1497	gene1643	gene1554	gene1786
gene1431	gene1498	gene1500	gene1644	gene1559	gene1791
gene1432	gene1500	gene1505	gene1650	gene1562	gene1795
gene1433	gene1501	gene1509	gene1651	gene1563	gene1798
gene1434	gene1502	gene1510	gene1652	gene1564	gene1799
gene1435	gene1504	gene1513	gene1654	gene1568	gene1801
gene1436	gene1505	gene1514	gene1656	gene1571	gene1804
gene1437	gene1506	gene1515	gene1658	gene1573	gene1806
gene1440	gene1507	gene1516	gene1659	gene1576	gene1810
gene1441	gene1508	gene1518	gene1660	gene1577	gene1817
gene1443	gene1510	gene1519	gene1661	gene1587	gene1818
gene1444	gene1512	gene1520	gene1664	gene1591	gene1819
gene1445	gene1513	gene1522	gene1665	gene1592	gene1821
gene1449	gene1514	gene1526	gene1668	gene1594	gene1828
gene1451	gene1515	gene1529	gene1675	gene1595	gene1832
gene1452	gene1516	gene1530	gene1676	gene1597	gene1835
gene1453	gene1518	gene1531	gene1677	gene1598	gene1840
gene1457	gene1519	gene1532	gene1678	gene1601	gene1841
gene1458	gene1524	gene1536	gene1679	gene1603	gene1846
gene1459	gene1529	gene1539	gene1680	gene1604	gene1852
gene1460	gene1530	gene1544	gene1682	gene1611	gene1853
gene1461	gene1531	gene1547	gene1684	gene1613	gene1854
gene1462	gene1535	gene1548	gene1685	gene1616	gene1855
gene1463	gene1536	gene1549	gene1689	gene1618	gene1860
gene1464	gene1538	gene1550	gene1690	gene1619	gene1861
gene1465	gene1539	gene1552	gene1691	gene1620	gene1862
gene1466	gene1540	gene1554	gene1692	gene1621	gene1864
gene1468	gene1541	gene1556	gene1693	gene1622	gene1868
gene1469	gene1548	gene1557	gene1695	gene1624	gene1869
gene1471	gene1550	gene1559	gene1697	gene1628	gene1870
gene1474	gene1551	gene1562	gene1698	gene1632	gene1871
gene1476	gene1552	gene1563	gene1700	gene1633	gene1874
gene1477	gene1554	gene1564	gene1701	gene1638	gene1879
gene1478	gene1557	gene1566	gene1703	gene1639	gene1881
gene1479	gene1559	gene1567	gene1704	gene1640	gene1883
gene1481	gene1560	gene1568	gene1707	gene1642	gene1885
gene1483	gene1561	gene1573	gene1712	gene1643	gene1890
gene1484	gene1562	gene1574	gene1713	gene1644	gene1892
gene1486	gene1563	gene1575	gene1714	gene1645	gene1896
gene1487	gene1565	gene1577	gene1716	gene1649	gene1897
gene1488	gene1568	gene1581	gene1722	gene1652	gene1901
gene1489	gene1570	gene1582	gene1729	gene1658	gene1904
gene1490	gene1571	gene1591	gene1730	gene1659	gene1906
gene1492	gene1573	gene1592	gene1745	gene1660	gene1907
gene1497	gene1577	gene1595	gene1746	gene1661	gene1915
gene1499	gene1578	gene1597	gene1747	gene1664	gene1916
gene1500	gene1582	gene1598	gene1748	gene1665	gene1919
gene1501	gene1585	gene1600	gene1749	gene1668	gene1922
gene1502	gene1586	gene1602	gene1750	gene1669	gene1923
gene1504	gene1589	gene1603	gene1756	gene1675	gene1925
gene1505	gene1590	gene1604	gene1760	gene1677	gene1927
gene1510	gene1591	gene1606	gene1762	gene1679	gene1928
gene1511	gene1595	gene1607	gene1765	gene1680	gene1932
gene1512	gene1597	gene1611	gene1766	gene1682	gene1938
gene1513	gene1600	gene1616	gene1767	gene1685	gene1946
gene1514	gene1601	gene1620	gene1768	gene1687	gene1948
gene1516	gene1602	gene1621	gene1773	gene1688	gene1949
gene1519	gene1603	gene1622	gene1774	gene1689	gene1951
gene1520	gene1604	gene1624	gene1776	gene1691	gene1955
gene1528	gene1605	gene1626	gene1779	gene1692	gene1956
gene1529	gene1606	gene1630	gene1781	gene1693	gene1957
gene1530	gene1607	gene1631	gene1782	gene1697	gene1962
gene1531	gene1611	gene1636	gene1784	gene1700	gene1965
gene1533	gene1613	gene1637	gene1790	gene1701	gene1975
gene1535	gene1614	gene1639	gene1791	gene1702	gene1978
gene1536	gene1616	gene1640	gene1792	gene1703	gene1982
gene1537	gene1617	gene1641	gene1795	gene1705	gene1984
gene1538	gene1618	gene1642	gene1796	gene1712	gene1990
gene1539	gene1620	gene1644	gene1798	gene1713	gene1991
gene1540	gene1624	gene1645	gene1799	gene1714	gene1997
gene1546	gene1625	gene1646	gene1803	gene1718	gene2000
gene1548	gene1626	gene1649	gene1804	gene1720	gene2003
gene1550	gene1628	gene1650	gene1806	gene1722	gene2005
gene1551	gene1632	gene1655	gene1809	gene1725	gene2008
gene1554	gene1636	gene1658	gene1810	gene1730	gene2012
gene1559	gene1639	gene1659	gene1812	gene1731	gene2015
gene1563	gene1641	gene1664	gene1815	gene1733	gene2021
gene1564	gene1643	gene1665	gene1818	gene1741	gene2024
gene1565	gene1644	gene1667	gene1819	gene1743	gene2025
gene1566	gene1645	gene1668	gene1821	gene1745	gene2026
gene1568	gene1649	gene1669	gene1828	gene1746	gene2030
gene1571	gene1654	gene1671	gene1839	gene1747	gene2031
gene1573	gene1655	gene1674	gene1840	gene1748	gene2033
gene1575	gene1658	gene1676	gene1841	gene1749	gene2038
gene1577	gene1659	gene1679	gene1846	gene1750	gene2040
gene1578	gene1660	gene1680	gene1849	gene1757	gene2041
gene1582	gene1662	gene1682	gene1852	gene1760	gene2043
gene1583	gene1663	gene1686	gene1855	gene1761	gene2044
gene1585	gene1665	gene1689	gene1858	gene1762	gene2046
gene1588	gene1666	gene1691	gene1860	gene1766	gene2048
gene1591	gene1668	gene1696	gene1861	gene1767	gene2050
gene1594	gene1671	gene1697	gene1862	gene1769	gene2052
gene1595	gene1672	gene1700	gene1865	gene1770	gene2055
gene1597	gene1673	gene1701	gene1868	gene1771	gene2057
gene1598	gene1674	gene1702	gene1870	gene1775	gene2058
gene1599	gene1676	gene1703	gene1874	gene1782	gene2059
gene1600	gene1678	gene1704	gene1875	gene1784	gene2063
gene1602	gene1680	gene1710	gene1876	gene1788	gene2069
gene1603	gene1682	gene1712	gene1879	gene1789	gene2072
gene1604	gene1684	gene1713	gene1881	gene1790	gene2074
gene1605	gene1685	gene1714	gene1883	gene1791	gene2076
gene1606	gene1688	gene1718	gene1888	gene1793	gene2081
gene1607	gene1691	gene1719	gene1889	gene1798	gene2086
gene1610	gene1693	gene1720	gene1892	gene1799	gene2087
gene1611	gene1696	gene1723	gene1893	gene1804	gene2089
gene1612	gene1697	gene1729	gene1897	gene1806	gene2091
gene1613	gene1700	gene1735	gene1900	gene1809	gene2094
gene1614	gene1702	gene1739	gene1901	gene1810	gene2095
gene1616	gene1703	gene1745	gene1903	gene1812	gene2096
gene1618	gene1705	gene1747	gene1906	gene1814	gene2098
gene1620	gene1712	gene1750	gene1907	gene1816	gene2113
gene1622	gene1713	gene1753	gene1909	gene1817	gene2116
gene1624	gene1714	gene1755	gene1911	gene1818	gene2120
gene1627	gene1718	gene1756	gene1913	gene1819	gene2121
gene1628	gene1719	gene1758	gene1915	gene1821	gene2124
gene1630	gene1720	gene1760	gene1916	gene1825	gene2126
gene1631	gene1722	gene1762	gene1919	gene1827	gene2129
gene1632	gene1725	gene1766	gene1922	gene1828	gene2132
gene1633	gene1726	gene1767	gene1925	gene1834	gene2133
gene1634	gene1731	gene1770	gene1927	gene1840	gene2135
gene1635	gene1732	gene1772	gene1931	gene1841	gene2136
gene1636	gene1735	gene1774	gene1932	gene1843	gene2139
gene1637	gene1742	gene1775	gene1934	gene1845	gene2140
gene1639	gene1743	gene1776	gene1938	gene1846	gene2142
gene1640	gene1745	gene1777	gene1941	gene1852	gene2149
gene1641	gene1747	gene1779	gene1944	gene1853	gene2152
gene1642	gene1748	gene1782	gene1946	gene1856	gene2154
gene1643	gene1750	gene1784	gene1949	gene1858	gene2155
gene1644	gene1755	gene1790	gene1957	gene1859	gene2158
gene1645	gene1756	gene1791	gene1958	gene1860	gene2161
gene1646	gene1757	gene1793	gene1960	gene1861	gene2162
gene1649	gene1758	gene1795	gene1978	gene1863	gene2164
gene1651	gene1760	gene1798	gene1985	gene1864	gene2168
gene1653	gene1761	gene1801	gene1987	gene1865	gene2171
gene1654	gene1765	gene1804	gene1990	gene1866	gene2176
gene1655	gene1766	gene1805	gene1992	gene1867	gene2177
gene1659	gene1767	gene1806	gene1998	gene1868	gene2183
gene1660	gene1769	gene1809	gene2003	gene1869	gene2185
gene1665	gene1773	gene1810	gene2006	gene1870	gene2186
gene1667	gene1775	gene1812	gene2009	gene1872	gene2187
gene1668	gene1776	gene1817	gene2010	gene1874	gene2189
gene1669	gene1779	gene1818	gene2012	gene1876	gene2192
gene1672	gene1781	gene1819	gene2015	gene1878	gene2193
gene1673	gene1782	gene1821	gene2017	gene1879	gene2194
gene1674	gene1784	gene1824	gene2019	gene1883	gene2195
gene1675	gene1785	gene1826	gene2021	gene1885	gene2199
gene1676	gene1786	gene1827	gene2022	gene1888	gene2207
gene1679	gene1787	gene1829	gene2025	gene1890	gene2221
gene1680	gene1790	gene1835	gene2026	gene1892	gene2223
gene1681	gene1791	gene1836	gene2033	gene1901	gene2233
gene1682	gene1792	gene1839	gene2035	gene1902	gene2235
gene1683	gene1793	gene1840	gene2036	gene1904	gene2237
gene1685	gene1795	gene1841	gene2039	gene1906	gene2243
gene1688	gene1796	gene1847	gene2040	gene1912	gene2245
gene1691	gene1799	gene1852	gene2041	gene1913	gene2247
gene1692	gene1804	gene1853	gene2043	gene1915	gene2248
gene1693	gene1805	gene1858	gene2048	gene1916	gene2249
gene1696	gene1806	gene1860	gene2050	gene1919	gene2254
gene1697	gene1809	gene1861	gene2052	gene1925	gene2256
gene1700	gene1810	gene1862	gene2055	gene1927	gene2267
gene1702	gene1812	gene1863	gene2058	gene1930	gene2272
gene1703	gene1813	gene1864	gene2059	gene1931	gene2273
gene1704	gene1817	gene1865	gene2067	gene1932	gene2278
gene1705	gene1819	gene1866	gene2072	gene1938	gene2281
gene1706	gene1820	gene1867	gene2074	gene1941	gene2292
gene1707	gene1821	gene1870	gene2076	gene1942	gene2293
gene1712	gene1822	gene1874	gene2081	gene1944	gene2294
gene1713	gene1825	gene1876	gene2084	gene1949	gene2298
gene1714	gene1827	gene1879	gene2088	gene1950	gene2299
gene1716	gene1829	gene1880	gene2089	gene1951	gene2302
gene1718	gene1831	gene1881	gene2096	gene1952	gene2310
gene1719	gene1835	gene1883	gene2097	gene1953	gene2314
gene1720	gene1839	gene1885	gene2098	gene1957	gene2321
gene1721	gene1840	gene1888	gene2101	gene1961	gene2328
gene1722	gene1841	gene1890	gene2106	gene1967	gene2330
gene1725	gene1844	gene1897	gene2107	gene1969	gene2331
gene1727	gene1847	gene1898	gene2113	gene1970	gene2333
gene1730	gene1849	gene1900	gene2124	gene1974	gene2336
gene1732	gene1852	gene1901	gene2132	gene1975	gene2342
gene1733	gene1853	gene1903	gene2136	gene1976	gene2344
gene1735	gene1854	gene1904	gene2140	gene1978	gene2347
gene1741	gene1855	gene1906	gene2141	gene1979	gene2354
gene1742	gene1856	gene1907	gene2142	gene1985	gene2356
gene1743	gene1857	gene1911	gene2143	gene1988	gene2358
gene1745	gene1858	gene1912	gene2145	gene1989	gene2359
gene1746	gene1859	gene1913	gene2149	gene1992	gene2367
gene1747	gene1860	gene1915	gene2152	gene1996	gene2371
gene1748	gene1862	gene1916	gene2153	gene1997	gene2373
gene1750	gene1863	gene1919	gene2155	gene1998	gene2374
gene1756	gene1864	gene1922	gene2161	gene1999	gene2375
gene1757	gene1865	gene1927	gene2163	gene2003	gene2381
gene1758	gene1866	gene1931	gene2164	gene2004	gene2386
gene1759	gene1868	gene1932	gene2170	gene2006	gene2387
gene1760	gene1869	gene1934	gene2179	gene2009	gene2393
gene1762	gene1870	gene1935	gene2187	gene2012	gene2395
gene1765	gene1871	gene1936	gene2188	gene2015	gene2397
gene1766	gene1873	gene1937	gene2192	gene2021	gene2399
gene1767	gene1874	gene1938	gene2197	gene2022	gene2403
gene1768	gene1875	gene1941	gene2198	gene2024	gene2404
gene1769	gene1876	gene1945	gene2199	gene2025	gene2406
gene1773	gene1879	gene1949	gene2204	gene2026	gene2410
gene1774	gene1883	gene1951	gene2205	gene2029	gene2412
gene1776	gene1889	gene1955	gene2208	gene2031	gene2414
gene1777	gene1890	gene1956	gene2211	gene2033	gene2428
gene1778	gene1892	gene1957	gene2212	gene2036	gene2430
gene1779	gene1893	gene1958	gene2213	gene2037	gene2440
gene1780	gene1897	gene1960	gene2215	gene2039	gene2443
gene1781	gene1900	gene1964	gene2219	gene2042	gene2444
gene1782	gene1901	gene1965	gene2222	gene2043	gene2451
gene1784	gene1902	gene1967	gene2225	gene2046	gene2458
gene1786	gene1903	gene1969	gene2232	gene2047	gene2461
gene1787	gene1904	gene1970	gene2235	gene2048	gene2462
gene1789	gene1912	gene1975	gene2237	gene2050	gene2464
gene1790	gene1913	gene1978	gene2242	gene2052	gene2465
gene1791	gene1915	gene1979	gene2245	gene2055	gene2466
gene1792	gene1916	gene1987	gene2246	gene2059	gene2469
gene1795	gene1919	gene1988	gene2247	gene2062	gene2471
gene1798	gene1920	gene1989	gene2249	gene2063	gene2473
gene1799	gene1924	gene1992	gene2254	gene2064	gene2477
gene1802	gene1927	gene1994	gene2267	gene2067	gene2487
gene1803	gene1929	gene1997	gene2269	gene2068	gene2488
gene1804	gene1932	gene2000	gene2270	gene2072	gene2489
gene1805	gene1934	gene2003	gene2271	gene2075	gene2491
gene1806	gene1937	gene2004	gene2272	gene2076	gene2495
gene1809	gene1938	gene2008	gene2273	gene2079	gene2508
gene1810	gene1941	gene2009	gene2278	gene2081	gene2511
gene1812	gene1944	gene2010	gene2279	gene2088	gene2518
gene1816	gene1953	gene2012	gene2282	gene2089	gene2524
gene1817	gene1954	gene2013	gene2287	gene2090	gene2529
gene1818	gene1957	gene2015	gene2293	gene2095	gene2535
gene1819	gene1958	gene2021	gene2295	gene2096	gene2539
gene1820	gene1960	gene2022	gene2298	gene2098	gene2546
gene1821	gene1964	gene2025	gene2299	gene2102	gene2547
gene1825	gene1968	gene2027	gene2301	gene2103	gene2548
gene1827	gene1969	gene2030	gene2302	gene2104	gene2554
gene1829	gene1975	gene2033	gene2308	gene2106	gene2555
gene1831	gene1976	gene2039	gene2311	gene2112	gene2557
gene1835	gene1977	gene2046	gene2312	gene2113	gene2560
gene1839	gene1978	gene2047	gene2314	gene2115	gene2568
gene1840	gene1979	gene2048	gene2315	gene2121	gene2571
gene1841	gene1985	gene2050	gene2322	gene2122	gene2572
gene1846	gene1986	gene2055	gene2323	gene2124	gene2576
gene1847	gene1988	gene2056	gene2324	gene2126	gene2584
gene1849	gene1990	gene2058	gene2326	gene2129	gene2585
gene1852	gene1992	gene2059	gene2328	gene2131	gene2588
gene1853	gene1993	gene2060	gene2331	gene2135	gene2591
gene1854	gene1996	gene2063	gene2332	gene2136	gene2600
gene1858	gene1998	gene2066	gene2333	gene2139	gene2605
gene1860	gene2000	gene2067	gene2337	gene2140	gene2607
gene1861	gene2003	gene2069	gene2342	gene2141	gene2613
gene1862	gene2004	gene2073	gene2344	gene2145	gene2614
gene1864	gene2007	gene2075	gene2347	gene2148	gene2620
gene1865	gene2009	gene2076	gene2350	gene2149	gene2625
gene1868	gene2012	gene2077	gene2351	gene2151	gene2632
gene1870	gene2015	gene2079	gene2354	gene2152	gene2635
gene1874	gene2016	gene2080	gene2358	gene2158	gene2636
gene1875	gene2020	gene2081	gene2359	gene2163	gene2639
gene1876	gene2021	gene2084	gene2362	gene2164	gene2640
gene1879	gene2022	gene2088	gene2367	gene2168	gene2642
gene1883	gene2025	gene2089	gene2371	gene2170	gene2643
gene1884	gene2027	gene2090	gene2372	gene2171	gene2656
gene1887	gene2030	gene2094	gene2375	gene2179	gene2658
gene1889	gene2033	gene2095	gene2378	gene2181	gene2659
gene1890	gene2035	gene2096	gene2386	gene2182	gene2660
gene1892	gene2036	gene2099	gene2393	gene2183	gene2662
gene1896	gene2037	gene2101	gene2395	gene2186	gene2664
gene1897	gene2039	gene2102	gene2399	gene2187	gene2670
gene1900	gene2040	gene2103	gene2403	gene2188	gene2673
gene1901	gene2041	gene2104	gene2406	gene2189	gene2687
gene1903	gene2043	gene2107	gene2408	gene2190	gene2695
gene1904	gene2046	gene2112	gene2410	gene2192	gene2697
gene1905	gene2048	gene2121	gene2411	gene2193	gene2701
gene1906	gene2049	gene2124	gene2412	gene2194	gene2710
gene1912	gene2050	gene2126	gene2413	gene2198	gene2712
gene1913	gene2052	gene2129	gene2420	gene2199	gene2716
gene1915	gene2055	gene2135	gene2421	gene2201	gene2721
gene1916	gene2056	gene2138	gene2428	gene2208	gene2722
gene1919	gene2058	gene2139	gene2446	gene2210	gene2726
gene1920	gene2060	gene2140	gene2447	gene2212	gene2730
gene1922	gene2066	gene2142	gene2450	gene2215	gene2735
gene1925	gene2067	gene2145	gene2458	gene2216	gene2737
gene1927	gene2068	gene2149	gene2461	gene2219	gene2740
gene1928	gene2069	gene2151	gene2462	gene2221	gene2748
gene1931	gene2074	gene2152	gene2464	gene2228	gene2757
gene1932	gene2076	gene2158	gene2465	gene2232	gene2758
gene1936	gene2077	gene2161	gene2469	gene2234	gene2773
gene1938	gene2079	gene2162	gene2470	gene2235	gene2776
gene1939	gene2081	gene2164	gene2473	gene2236	gene2783
gene1940	gene2085	gene2166	gene2477	gene2245	gene2790
gene1941	gene2087	gene2167	gene2478	gene2247	gene2791
gene1944	gene2088	gene2168	gene2481	gene2255	gene2793
gene1947	gene2090	gene2180	gene2484	gene2262	gene2794
gene1949	gene2094	gene2185	gene2485	gene2263	gene2800
gene1951	gene2095	gene2187	gene2487	gene2269	gene2808
gene1954	gene2096	gene2189	gene2491	gene2272	gene2811
gene1957	gene2101	gene2190	gene2494	gene2273	gene2816
gene1958	gene2104	gene2192	gene2495	gene2276	gene2820
gene1960	gene2106	gene2194	gene2498	gene2278	gene2824
gene1961	gene2107	gene2199	gene2501	gene2281	gene2826
gene1965	gene2111	gene2203	gene2504	gene2283	gene2827
gene1969	gene2112	gene2207	gene2508	gene2286	gene2829
gene1975	gene2115	gene2210	gene2509	gene2288	gene2833
gene1978	gene2120	gene2212	gene2511	gene2289	gene2838
gene1980	gene2121	gene2216	gene2516	gene2291	gene2839
gene1986	gene2124	gene2219	gene2518	gene2292	gene2845
gene1988	gene2128	gene2221	gene2520	gene2293	gene2855
gene1990	gene2132	gene2222	gene2523	gene2298	gene2856
